Variable,Coefficient,Std_Error,T_stat,P-value,Significant,CI_Lower,CI_Upper,PC
Intercept,22.530058927704943,7.599324383658079,2.964744994456951,0.0030293392372122796,True,7.635656828898064,37.42446102651182,PC5
C(SampleType)[T.Groin],4.429901448464715,1.8237191759155782,2.429048017352086,0.01513852723948627,True,0.8554775457551149,8.004325351174316,PC5
C(SampleType)[T.Stool],-3.9643820566193786,1.70115759892366,-2.330402579471581,0.019784883573914485,True,-7.298589682536386,-0.6301744307023709,PC5
C(Location)[T.ZCH],-0.418805707859544,2.657966283771015,-0.15756622287373767,0.8747986212689227,False,-5.628323896172503,4.790712480453415,PC5
C(GestationCohort)[T.28-32 Weeks],-0.6284166455701623,3.4125137610013847,-0.18415065537662673,0.8538952686759045,False,-7.316820713880202,6.059987422739877,PC5
C(GestationCohort)[T.33-36 Weeks],12.347794527386045,4.364166571297258,2.829359128635559,0.0046641328329649154,True,3.7941852251097643,20.901403829662325,PC5
C(SampleCollectionWeek)[T.Week.3],-0.8511041458652124,1.4584633731048111,-0.5835622351306374,0.5595148742968887,False,-3.7096398299214455,2.007431538191021,PC5
C(MaternalAntibiotics)[T.None.Mat.Abx],-0.6925282641782505,2.2020921434647858,-0.31448650604085177,0.7531515635928467,False,-5.00854955600784,3.6234930276513393,PC5
C(PostNatalAbxCohort)[T.Low.Infant.Abx],-5.144617772032572,2.7610056041619346,-1.8633130495199233,0.06241823522955799,False,-10.556089317303217,0.266853773238072,PC5
C(PostNatalAbxCohort)[T.No.Infant.Abx],-3.4669317301866607,2.634800971591486,-1.3158230043055383,0.18823345623107968,False,-8.631046740937116,1.6971832805637947,PC5
C(BSI_30D)[T.BSI ],-0.06699816367880343,10.152427121079082,-0.006599226261836226,0.9947346174701787,False,-19.96538967666147,19.831393349303863,PC5
C(BSI_30D)[T.BSI and No.BSI],6.211315440995583,9.65230683517934,0.6435058009508643,0.5198959518893297,False,-12.706858323685715,25.129489205676883,PC5
C(BSI_30D)[T.No.BSI],-3.275718423068056,3.1604696132010277,-1.036465723127235,0.2999849225118927,False,-9.470125039175306,2.9186881930391935,PC5
C(BSI_30D)[T.No.BSI ],-5.63886035924335,11.409233642059304,-0.4942365575244339,0.621139124398419,False,-28.000547388882335,16.722826670395637,PC5
C(BSI_30D)[T.No.BSI  ],-2.799962712743917,13.056939713586134,-0.21444249373614496,0.8302020070962705,False,-28.391094299683466,22.791168874195634,PC5
C(BSI_30D)[T.PICC],0.7636839686097235,7.522518302195785,0.10151972224338864,0.9191379023521244,False,-13.980180976737408,15.507548913956857,PC5
C(NEC_30D)[T.No.NEC],-7.730873707876057,4.965151580007269,-1.5570267258315482,0.11946414024205014,False,-17.46239198247245,2.000644566720336,PC5
C(AnyMilk)[T.Mother],-4.582235539617839,3.121420544673131,-1.467996854008559,0.14210507746396148,False,-10.700107387780575,1.5356363085448965,PC5
C(AnyMilk)[T.No.Milk],-3.357099393759457,4.271093420462533,-0.7860046745116392,0.4318647485744702,False,-11.728288672472011,5.014089884953098,PC5
C(PICC)[T.PICC_LE],-3.8235623026437096,2.840242339994095,-1.3462098810384113,0.17823483931876705,False,-9.390334996397902,1.7432103911104835,PC5
C(PICC)[T.PICC_Neck],-0.9745057854806536,6.958645955938947,-0.14004244383908465,0.8886264554627956,False,-14.613201240286287,12.66418966932498,PC5
C(PICC)[T.PICC_UE],-7.406671931666987,2.40492612378769,-3.0797918731913856,0.002071452926852697,True,-12.120240519770375,-2.6931033435635996,PC5
C(PICC)[T.axillary],-8.629420818262673,5.834532923009507,-1.4790251305688984,0.13913359839659645,False,-20.064895213974516,2.8060535774491697,PC5
C(PICC)[T.peripheral_UE],-7.483157606564088,5.189438254225355,-1.4419976190045494,0.14930304530552327,False,-17.654269684840198,2.687954471712022,PC5
C(UVC)[T.UVC],-4.578058155602739,2.8324130944734147,-1.6163101930772088,0.10602726411211966,False,-10.129485810110278,0.9733694989047992,PC5
C(Delivery)[T.Vaginal],-1.5196773532867864,2.622613432383161,-0.5794515251551428,0.562284546050156,False,-6.659905226128754,3.6205505195551817,PC5
Group Var,0.03329416079542282,0.025582052419909088,1.301465584110516,0.19309913739151152,False,-0.016845740598214726,0.08343406218906037,PC5
