sample_name	MerP_Gneg	aadA1	aafC	abaF	acrF	adeC	adeD	adeE	agg3C	aggC	aggD	ail	air	alo	alpha-1	alpha-5	amvA	ariR	arsA	arsB_R773	arsB_pI258	arsB_pYV	arsC_gluta	arsC_thio	arsD	arsH	arsN2	arsP	arsR_R46	arsR_pI258	arsR_pKW301	arsR_pSX267	arsR_pYV	aut	bepD	bepE	bepG	beta-4	bimA_Bm	bind_CopB	blaEC	blaEC-5	blaEC-8	bonA	bont_DC	cadC_Lm	cadC_Sa	cadR	capA	capB	capC	capD	cesB	cesC	cesD	chrA	chrR_I	clpL	cnf1	cnrA	cnrC	cnrT	copA_Ehir	copB_Ehir	copC_Psyr	copR	copS	cpb2	cueA	cvaB	cytK1	dpsA	eat(A)	eatA	ehxA	eilA	emhA	emhB	emhC	emrD	emrD3	entFM	epeA	epsilon-1	epsilon-2	epsilon-7	espC	espF	espP	espX1	f17a	farB	fdeC	gamma-1	gamma-5	golS	golT	gyrA	hblD	hld	hlyE	hmrM	ibeA	iha	inhA1	inhA2	inlK	inl_lmo0610	iota-1	ireA	iroD	iroE	iroN	iss	iucB	iucC	iucD	iutA	kdeA	lambda-2	lmrC_abcf	lmrS	lpfA-O113	lpfA1	mchF	mco	mdsA	mdsB	mdtM	mepA	merA	merB	merB1	merC	merD	merE	merF	merR_Bc1	merR_Bc2	merR_Ps	merT	merT_pI258	mexA	mexE	mexX	mrdH	mreA	mtrA_Ngon	mtrC	mtrF	mtrR	multi_CopA	ncrA	ncrB	ncrC	ncrY	nfaE	nheB	nheC	nirB	nirD	norM-Burk	nreB	pet	pfoA	pic_auto	plcA	plcR	pmrA	qacR	ranA	ranB	rho-1	rho-3	rpeA	sab	sat_auto	scn	sdeA	sdeB	seb	sec2	sed	see	seh	sej	sek	selV	selX	senB	sep	sepA	sigA	silA	silB	silC	silE	silP	sinH	sodC1	sph	splA	splB	splE	srpA	srpB	srpC	srpR	srpS	sslE	tbtA	tbtB	tbtM	tccC	tccP	tccP2	tcrB	terB	terC	terD	terE	terW	terZ	tir	tsh	ttgA	ttgB	ttgD	ttgE	ttgR	vac_auto	virF_Yersin	ybtQ	yfeA	yfeB	yfeD	ymoA
N01_1_2	0.0	0.0	0.0	0.0185574	0.042404	0.0	0.0425582	0.0192374	0.0	0.0	0.0	0.0	0.0	0.0	0.008489	0.0	0.0	0.0	0.546552	3.83209	13.0737	2.5238	0.0280974	6.46836	0.230817	0.0	0.0	0.328277	0.0	3.95183	0.0	3.95183	0.0	0.0	0.0	0.0568892	0.0371147	0.0	32.8029	0.0242543	0.0	0.0	0.0	0.00655807	0.0	0.0	0.616315	0.0	0.0	1.58735	4.41541	0.0377111	0.306452	2.33651	0.0148321	0.0	0.0	5.08774	0.0	0.0296366	0.0	0.0	10.4788	3.74381	0.0	2.21848	0.629543	0.0	3.55985	0.262564	0.0	0.0	0.477824	0.00875603	0.0	0.0	0.0	0.0113455	0.00819267	0.0202017	0.0	0.0	0.0264033	0.0	0.0	0.0	0.0	0.0	0.00920022	0.0	0.0	0.0	0.0	0.0	0.230429	0.0	3.18977	0.0	0.0	0.0	0.0	1.65599	0.0	0.011465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.72264	9.82942	0.0	0.0	0.262564	4.37761	0.00975509	0.075565	0.0	0.0353082	0.567972	0.0	0.0	0.0	0.0	0.0	0.0	3.38986	0.0	0.0	0.0	0.0	0.0	0.0	0.0401998	0.0	0.0	0.0132114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0261724	0.0	0.0	3.62077	8.48631	0.785642	0.094248	0.0	0.0	0.0194784	0.172744	0.0	0.0	0.0	0.0190355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0526132	0.0	0.0304277	0.0185143	0.0	0.0	4.75394	0.0	0.0	1.25933	0.0	0.0	0.0	0.0	0.0569976	0.0254129	0.0	0.0	0.0262316	0.0	0.0533502	0.0	0.0	0.0236085	0.0115647	11.2961	0.0	0.0	0.0	0.0	0.0	0.0	0.0141233	0.115815	0.0414528	0.034166	0.0	0.00762145	0.0	0.0492572	0.0	0.531092	1.13642	1.18217	1.13804	0.0
N01_1_3	0.148748	0.0	0.0	0.0477378	0.370218	0.0513916	0.0729858	0.128667	0.0	0.0	0.0	0.0	0.00116606	0.0	0.00727917	0.0	0.0138792	0.0	1.15993	3.6599	14.6396	2.56193	0.289116	8.57895	0.226196	0.22025	0.0	0.454718	0.0	8.9929	0.0	8.53674	0.0	0.0	0.0	0.117076	0.101841	0.0	29.9063	0.0161759	0.0362033	0.0362033	0.0362033	0.00692115	0.0	0.0	0.0	0.0	0.0	1.58185	4.17388	0.00646732	0.331661	1.9918	0.0	0.0	0.0	1.46554	0.0	0.136594	0.0163304	0.0	9.06527	1.37582	0.0	2.34471	0.392598	0.0	2.62807	0.195777	0.0	0.0839561	0.375582	0.00500543	0.0	0.0	0.0531795	0.223757	0.0632257	0.0346452	0.0	0.0	0.00503119	0.0	0.0	0.0	0.00261961	0.0412194	0.0	0.137137	0.0	0.0	0.0193152	0.0	0.0073181	0.132434	2.20159	0.0	0.0	0.0	0.0681969	0.132434	0.0	0.00981696	0.0	0.00855303	0.00571154	0.0	0.0	0.0100182	0.0	0.0	0.0471891	0.139641	0.0	0.0	0.0	0.0	0.0249723	0.0	2.34704	10.7473	0.0	0.0	0.195777	6.65769	0.0250945	0.233264	0.0582688	0.340607	0.0541141	0.0	0.0	0.0	0.112171	0.0	0.0	0.0	0.0	0.424702	0.175447	0.0	0.0089094	0.0	0.051706	0.0271525	0.0	0.0339855	0.0	0.0256271	0.0	0.021966	0.0237035	0.0	0.0181497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0224423	0.0	0.0	0.0513182	14.0831	0.528372	0.107755	0.0	0.0	0.00556747	0.0501714	0.0	0.0	0.0345577	0.124052	0.0	0.0	0.0	0.0	0.0565489	0.0	0.0	0.11404	0.167706	0.0	0.0	0.00250822	0.00266035	0.23156	0.0635028	0.066647	0.0	3.76955	0.0	0.0384406	1.63492	0.115973	0.298114	0.0858881	0.0178653	0.192239	0.246966	0.0	0.0	0.0247425	0.026798	0.19279	0.0430341	0.0	0.0	0.0	2.48772	0.0	0.0	0.035453	0.0712752	0.0	0.0352702	0.0121105	0.0198619	0.0266588	0.231119	0.0	0.0588174	0.0	0.00496908	0.012578	0.455402	0.116512	0.161269	0.0459223	0.0
N01_1_4	0.0	0.0	0.708455	0.0	49.5657	0.0	0.0	14.2687	0.0	0.627159	3.01996	2.74399	0.0	0.0	0.0	0.170365	2.14481	8.92975	69.0247	101.535	185.182	85.0354	54.4789	67.1075	31.1213	16.0153	0.0	11.8303	38.1273	42.0032	26.821	41.5159	0.159389	2.89304	0.0	3.14831	3.06191	0.0	18.8186	1.49178	7.77837	7.77837	7.74228	0.649065	0.0	0.0	0.0	0.0	0.0	20.4216	44.0465	0.0322395	3.06246	24.776	0.0	0.0	2.7178	27.7229	0.0	0.0	0.0	0.0	31.5839	27.7356	0.0537155	49.929	8.50155	0.0	22.5301	5.62633	0.0	0.0	8.46266	0.0	0.0	0.0	7.3609	18.0149	2.66151	20.7678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0136985	0.0	0.0	0.0	3.29701	0.0	0.0	0.00729612	0.0	18.3422	0.00388489	0.25142	0.13119	0.0	0.0366767	0.0	0.901741	0.0	0.0	0.0	0.0	0.0	1.74292	0.0	0.0	5.88092	0.0	5.05164	6.08215	7.13543	3.71382	23.6525	0.0	29.5903	125.354	4.46457	0.0	5.62145	48.9171	0.0	8.06867	1.73451	0.626344	0.245779	0.0	0.0	0.0	36.4019	30.6552	0.0	0.0	0.0	0.0	0.0	0.0	10.1795	1.30684	0.352263	0.0	0.0	0.0	1.83348	0.0	1.77821	13.485	0.0	0.0	0.0	0.0	3.16337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.886843	53.2394	7.21696	0.0	0.170004	0.173621	0.0	0.0	0.0	0.0	9.23364	15.2613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.9776	62.8213	56.1106	64.0024	61.4671	0.0	0.0191626	13.6739	0.115625	0.0283065	0.0713585	6.62594	16.2588	2.77365	0.0	0.0	0.0	4.5865	16.68	2.54569	0.0	0.0	0.0	10.7221	26.3225	57.9466	57.0139	45.4258	27.3531	23.6142	0.00610185	0.0	8.20396	23.5942	6.18065	5.95855	1.64889	0.0	0.0250804	6.46432	6.06154	15.0334	7.09657	13.7942
N01_2_2	0.0981098	0.0	0.0	0.0	0.422962	0.0	0.0361044	0.139265	0.0	0.0	0.0356763	0.0	0.0	0.0	0.0	0.0	0.0183085	0.0	5.54858	27.2252	84.6984	22.1454	0.381385	57.9517	3.87899	0.29054	0.0	2.69926	0.152985	38.9412	0.0	38.3824	0.0	0.0472571	0.0	0.0857994	0.0881619	0.0	15.3015	0.0213383	0.0238786	0.0238786	0.0238786	0.0285311	0.0	0.0	0.0	0.0	0.0	9.96753	24.0395	0.00853129	1.8594	8.63971	0.0	0.0	0.410277	11.8043	0.0	0.0921886	0.0	0.0	73.9818	14.1502	0.0	16.1458	0.146211	0.0	26.0943	1.09114	0.0	0.0553749	1.63046	0.0	0.0	0.0	0.0584592	0.171111	0.0556023	0.205658	0.0	0.0106944	0.0	0.0	0.0	0.0	0.0	0.0181247	0.0	0.0190424	0.0	0.0443325	0.0127397	0.0	0.0337875	0.0582329	23.5175	0.0	0.0	0.0	0.0	0.0388219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0462538	0.0	0.0	0.0248996	0.184206	0.0	0.0	0.0	0.0431576	0.153729	0.0	11.8191	61.963	0.0	0.0	1.10405	30.6946	0.0220687	0.119664	0.120787	1.44777	0.0158631	0.0	0.0	0.0	0.0739844	0.0	0.0	0.37326	0.0	0.186747	0.0771462	0.0	0.0705164	0.0	0.0341037	0.191029	0.0	0.0	0.021855	0.042257	0.0	0.0869287	0.083382	0.0	0.167593	0.0	0.0363956	0.0	0.0	0.0	0.0	0.0	0.0216453	0.0	0.0	0.0	0.0	0.0	1.33135	34.8627	3.58953	0.0355358	0.0	0.0	0.0	0.0157579	0.0	0.0	0.102569	0.107659	0.0676112	0.0338056	0.0696996	0.0	0.0	0.100663	0.0	0.338479	0.176982	0.0	0.0	0.0	0.0	0.49906	0.251307	0.361435	0.0940219	34.4524	0.0	0.0	5.41832	1.18563	0.786507	0.302129	0.0235668	0.219205	0.0574911	0.0	0.0	0.0	0.0235668	0.18966	0.0378453	0.0	0.0	0.0	26.0373	0.0593822	0.0520236	0.0	0.0235055	0.115719	0.0930526	0.0392439	0.0	0.0820555	0.231879	0.0117834	0.0905196	0.0	0.0	0.0	2.94362	0.0698615	0.471059	0.0	0.132737
N01_2_3	0.171804	0.0	0.627073	0.202169	36.3307	0.0678366	0.0842983	8.37547	0.0	0.417179	2.31154	1.65565	0.0	0.0	0.0126111	0.226759	1.12212	6.12702	30.7187	42.5565	50.5973	37.6953	33.6711	18.4702	18.8104	10.7351	0.0	3.52632	20.695	22.5799	25.1274	22.0154	2.47429	0.689613	0.0	2.05086	1.81952	0.0	9.93605	0.822058	1.06627	1.06627	1.06627	0.0889321	0.0	0.0	0.0	0.0	0.0	3.37363	10.4319	0.0597578	0.690994	9.82458	0.0	0.0	0.802975	8.88943	0.0	0.0256828	0.0	0.0449032	11.6536	8.49092	0.0	24.4583	7.80908	0.0	8.23968	2.86044	0.0	0.0	2.20053	0.32375	0.0	0.0	5.09803	10.6334	2.15019	17.7567	0.0	0.0	1.18254	0.0	0.0	0.0	0.871383	0.0158694	0.379658	0.0	0.0	2.1116	0.0	0.0	0.0	0.0	6.33894	0.0	0.0291264	0.0	0.0	0.501371	0.0	0.215742	0.0	0.0	0.0	0.0	0.0	0.607475	0.0	0.805161	2.4908	0.0	0.337627	0.557696	0.735366	4.56688	14.633	0.0	12.9589	23.3146	0.910289	0.0	2.8661	17.6921	0.0483066	5.57548	12.1429	0.935417	0.0416676	0.0	0.0	0.0	3.62759	1.90071	0.0963776	0.0	0.0	0.0545032	0.0	0.0	5.89635	0.837905	0.278694	2.79113	0.0	0.0	0.784556	0.591982	0.243456	7.90296	0.0	0.0	2.50505	0.0	2.82021	0.0	0.0	0.0	0.0	0.0	0.0	1.17691	0.0	5.44625	0.0	0.0	0.345755	12.398	2.45633	0.0	0.226278	0.243039	0.694483	0.00551883	0.182939	0.0	5.99707	9.71657	0.0295991	0.0295991	0.0305134	0.0	0.0	0.0	0.0	0.576258	0.07748	0.0	0.0	0.483441	0.144417	39.3378	50.9475	43.5091	26.9469	32.1052	0.318929	0.355189	3.48523	0.93764	0.360716	0.132267	4.85939	12.4679	1.93799	0.0738595	0.0	0.0051959	2.76501	12.1262	1.72308	0.0	0.0	0.0	3.21787	6.62913	7.24249	7.7187	7.88238	4.8127	3.97175	0.0139875	0.361311	4.19781	15.5916	3.22928	5.129	0.599277	0.69732	0.0	2.46557	3.3031	6.35962	2.34702	25.5684
N01_2_4	0.307026	0.0	1.12612	0.251809	152.79	0.717272	2.25971	40.422	0.0	0.982871	8.16875	8.23195	0.0	0.0	0.0100164	0.985571	5.87272	26.1305	153.251	174.153	55.4089	168.186	166.693	5.742	75.4793	83.1631	0.0329212	0.0	131.776	0.448355	150.527	0.448355	13.3312	4.40374	0.0	12.3421	9.79645	0.0	23.9485	3.68383	9.19128	9.19128	9.16637	0.0440475	0.0	0.0392311	0.0	0.954269	0.0	0.0	0.0	0.0088993	0.526592	27.0372	0.0175008	0.0	5.81543	23.4518	0.0	0.314723	0.0	0.0	26.3387	19.2663	0.333619	81.533	29.1411	0.0	30.5412	10.7827	0.0	0.288818	7.79923	0.175636	0.0	0.0	21.0628	52.2937	9.87946	76.8134	0.0	0.0557788	0.61962	0.0	0.0	0.0	0.335236	0.0567196	0.285865	0.0	0.0	10.0536	0.0	0.0	0.015105	0.485959	18.7445	0.00536188	0.0809683	0.0	0.0	1.468	0.0	0.00675427	0.0	0.00588466	0.0	0.0	0.0	4.42513	0.0	5.96214	13.5583	0.0	5.13977	6.16623	7.20937	19.712	79.7565	0.0	34.005	0.753628	5.79223	0.0	10.8096	3.74178	0.0	24.1227	39.7923	2.66632	0.595706	0.0	0.0	0.0	35.115	29.7957	0.344468	0.283172	0.0	1.46102	0.563318	0.0	26.199	4.6737	0.901228	10.4243	0.0980777	0.0	4.24038	2.93572	2.81125	35.9843	0.0434894	0.0	11.2636	0.0	10.8771	0.0	0.0	0.0	0.0	0.0	1.95309	0.584834	0.0	2.40876	0.0	0.0	2.04786	0.249086	6.59809	0.0	0.983481	1.11827	0.252815	0.0164376	0.127138	0.0	31.1114	45.8959	0.0	0.0	0.109059	0.0	0.0	0.0	0.0387467	0.92193	0.969238	0.0	0.0	0.196586	0.0988403	187.712	163.722	176.886	164.182	146.453	1.1721	0.185135	0.0	1.39636	1.719	0.965183	21.9653	51.4353	8.23603	0.219987	0.0362133	0.272373	14.5534	51.1016	7.48104	0.0180028	0.0	0.0	6.25711	24.0961	63.8596	62.3225	48.2787	28.1558	24.456	0.589519	0.0888251	24.2479	70.4502	17.0117	19.5773	4.68542	0.266669	0.0	7.6765	18.1459	31.4007	11.7693	47.4927
N02_1_2	0.412444	0.0	0.0	0.0	0.924688	0.0	0.0674574	0.341515	0.0	0.0	0.0	0.0	0.00431093	0.0	0.0	0.00448044	0.0	0.236859	3.40752	7.73603	28.5125	5.59858	0.653197	18.7169	2.09062	0.0542844	0.0	3.02865	0.142918	21.3615	0.14414	20.2372	0.0	0.0	0.0	0.2605	0.251004	0.0	30.0021	0.0384446	0.0780757	0.0557684	0.0557684	0.0410468	0.0	0.0	0.0	0.0	0.0	3.53608	12.0018	0.0159398	0.696394	7.65249	0.0	0.0	0.360735	6.32713	0.0	0.465845	0.0	0.0	13.6096	4.48172	0.0	6.45134	0.100166	0.0	6.64642	0.621255	0.0	0.103462	1.2623	0.0	0.0	0.0	0.0327675	0.583459	0.19046	0.11741	0.011095	0.0	0.0	0.0	0.0	0.0	0.0	0.0338642	0.0	0.160105	0.0	0.10768	0.0267783	0.0	0.130766	0.163203	5.47594	0.0	0.0	0.0	0.0280139	0.0816017	0.0	0.0242304	0.0	0.0	0.0	0.0	0.0	0.0493832	0.0	0.0264332	0.0523377	0.0	0.0	0.0	0.0	0.0115194	0.0	0.0	7.67466	23.5084	0.0	0.0	0.621255	21.4538	0.103083	0.423206	0.215421	0.0	0.907735	0.0	0.0	0.0	0.0691162	0.0	0.0	0.0	0.0	1.07583	0.324315	0.0	0.120773	0.0609555	0.0743391	0.0780757	0.0	0.0279211	0.13271	0.0631624	0.179833	0.033837	0.0389477	0.0	0.0782828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0255521	0.0294831	3.44665	35.5133	1.85573	0.248982	0.00447093	0.00447093	0.00686101	0.0588839	0.0	0.0	0.0	0.18908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.606892	0.0586927	0.0730059	0.0	5.41704	0.00576757	0.0	4.8255	0.0357296	0.0	0.0	0.0110081	0.582222	0.277492	0.0	0.0	0.0914734	0.0660484	0.527515	0.194453	0.00403068	0.0124736	0.0	3.26139	0.0	0.0	0.0436901	0.0658764	0.0	0.0	0.0075422	0.00611914	0.0328526	0.657887	0.0220161	0.140939	0.0	0.0	0.0	0.982117	0.0261058	0.312303	0.367847	0.248005
N02_1_3	0.0	0.0	0.0	0.0	0.0324804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0287819	0.351808	0.964214	0.273628	0.0	0.21223	0.0463047	0.0	0.0	0.0354612	0.0	0.373524	0.0	0.373524	0.0	0.0684469	0.0	0.0745629	0.119875	0.0	38.4366	0.0	0.0	0.0	0.0	0.00991783	0.0	0.0	0.0	0.0	0.0	0.0481967	0.112057	0.0953229	0.00626719	0.46051	0.0	0.0	0.0599237	0.405314	0.0	0.0	0.026744	0.0	0.43099	0.240337	0.0	0.338104	0.0229626	0.0	0.301909	0.136264	0.0	0.0	0.111834	0.012296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00430659	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.330444	0.0	0.0	0.215495	0.0	0.0	0.0	0.0	0.0	0.0140072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0136323	0.0	0.650787	0.465935	0.0	0.0	0.136264	0.181518	0.0273979	0.116726	0.0	0.0	0.0295406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0629536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0134361	0.0	0.0	0.0	0.0	0.0	0.0	0.118579	0.0432654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0748475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.441438	0.0	0.0	0.0826382	0.0	0.0	0.0	0.0	0.085377	0.0118957	0.0	0.0	0.00368367	0.0	0.0321081	0.0	0.0	0.0331531	0.0324804	0.102443	0.0	0.0	0.0	0.0	0.0	0.0	0.00991658	0.0	0.0	0.0213239	0.0	0.0	0.0	0.0	0.0411976	0.0466129	0.0	0.0	0.0	0.0
N02_1_4	0.0	0.0	0.0	0.0	0.014531	0.0	0.0	0.00290059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.226624	14.5359	45.8602	9.78621	0.0	23.129	0.0248588	0.0	0.0	2.91272	0.0	15.1828	0.0	15.6984	0.0	15.6117	0.0	0.457477	0.00559612	0.0	13.1189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.195637	0.0	0.0	6.74678	13.2749	0.0113721	0.963384	24.4341	0.0	0.00721322	16.5837	28.5688	0.0	0.0	0.0	0.0	25.7904	51.2353	0.0	16.349	0.0259863	0.0	16.0007	7.84897	0.0	0.0	23.8892	0.00660112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0066351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.330929	0.0	0.0	0.0	0.0	15.1145	0.0	0.0	0.0	0.0	4.32104	0.0	0.263624	0.0	0.0	0.0200862	0.0	0.0	0.0	0.0220091	0.0	2.60133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.8176	38.5526	0.0	0.0	7.84897	16.0075	0.0	0.014242	0.0	0.0798561	1.55946	0.0	0.0	0.0	0.0	0.0	0.0	0.0452318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0350777	0.0	0.0	3.97796	2.54638	9.03535	0.0	0.0	0.0	0.349985	2.45758	0.0	0.0	0.0	0.00287015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0022036	0.0	0.0	0.0	0.0	0.0	21.8757	0.0	0.0	4.30335	0.0	0.0	0.0	0.0	0.0114587	0.0127725	0.0	0.0	0.274885	0.0	0.00574577	0.0	0.0	0.0	0.0	17.7513	0.0	0.0173367	0.0	0.0	0.0	0.0	0.0	0.0567531	0.0	0.0057239	0.0	0.0	0.0	0.0305815	0.0	4.8547	7.63619	24.3874	20.7526	0.0
N02_2_2	0.264248	0.0	0.0340408	0.0452295	1.99654	0.0417353	0.0518631	0.64235	0.0	0.0	0.0	0.108652	0.00165718	0.057202	0.010345	0.0	0.0295872	0.109262	2.70583	8.74059	22.0267	7.836	1.36962	14.6602	1.2055	0.333883	0.0340012	1.70791	0.370843	12.2249	0.623355	11.947	0.0908816	0.0339418	0.0	0.466805	0.312083	0.010345	21.1164	0.022989	0.154354	0.154354	0.154354	0.0836079	0.0	0.0	0.237179	0.0	0.0	1.26521	7.97395	0.0643387	0.349887	9.44126	0.0	0.0	1.69006	6.11736	0.0	0.568833	0.0116042	0.013813	8.06131	2.8808	0.0	7.04176	0.483066	0.0731153	4.17976	0.667765	0.0	0.119317	1.10636	0.0355682	0.0	0.0	0.176348	0.718955	0.369405	0.393897	0.0	0.0	0.00715024	0.0102469	0.0102469	0.0102469	0.0297836	0.0585803	0.00747451	0.102577	0.0	0.43941	0.0308818	0.0	0.0208007	0.156844	3.73425	0.0	0.0	0.0	0.0	0.0418251	0.0	0.00697585	0.0	0.0	0.0162343	0.0	0.0	0.0640695	0.0	0.0609676	0.0737708	0.0	0.0	0.0	0.0	0.192627	0.331242	0.0	9.26547	8.27882	0.0254564	0.0	0.667765	13.2948	0.0475518	0.732088	0.437713	0.043028	1.13335	0.0	0.0	0.0	0.318831	0.369278	0.118589	0.402134	0.0748026	1.30776	0.83114	0.0	0.151943	0.0585803	0.0979782	0.244395	0.0	0.0643996	0.153046	0.136578	0.230434	0.288764	0.11229	0.0	0.232146	0.0	0.039211	0.0482597	0.0	0.0	0.0	0.0	0.0233197	0.00750334	0.155279	0.0460701	0.0589354	0.0	1.89624	12.8371	1.38919	0.306278	0.0	0.0	0.0237372	0.0746981	0.0	0.0	0.27012	0.552097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0213722	0.00756169	2.04406	1.02658	1.28395	0.33765	4.52034	0.00665139	0.0	1.36255	0.0	0.0	0.0	0.12695	0.981695	0.412923	0.0	0.0	0.137458	0.139644	0.993795	0.366956	0.0	0.0	0.0	2.85165	0.0	0.168144	0.10077	0.0	0.0	0.0498684	0.00845594	0.00705685	0.12629	1.14268	0.12695	0.357581	0.0230434	0.00706197	0.0715024	1.54521	0.105372	1.04774	0.16316	0.143005
N02_2_3	0.0	0.0	0.372759	0.227828	20.622	0.0	0.102225	4.68245	0.0	0.288001	0.858612	1.33255	0.0	0.208794	0.0226563	0.126741	0.535663	3.82866	14.2296	18.6522	6.67634	17.5328	18.2374	1.19392	7.92035	8.6833	0.0	0.107833	13.2474	0.243394	15.6906	0.243394	1.6321	0.29734	0.0	1.64383	1.28376	0.00906253	21.7352	0.412849	0.0225364	0.0225364	0.0225364	0.016695	0.00331212	0.0	0.0	0.0	0.0	0.228999	0.511127	0.0241553	0.0762307	3.92389	0.0	0.0	0.36444	3.00272	0.0	0.0	0.0	0.0	3.30571	2.12969	0.0	9.80394	4.27779	0.128102	3.8484	1.18824	0.0	0.0	0.714149	0.258617	0.0	0.0	3.43179	6.488	1.40813	10.1686	0.0	0.0	0.933307	0.0	0.00897658	0.0	0.746861	0.0282079	0.419064	0.0	0.0	1.05439	0.0	0.0	0.0	0.0824398	2.59024	0.0	0.0	0.0	0.0	0.366399	0.0	0.146875	0.0	0.0212969	0.0	0.0	0.00908185	0.455249	0.0	0.627559	1.46288	0.0	0.0269582	0.0513179	0.0191004	3.10726	11.5449	0.0	4.98604	0.734988	0.111502	0.0	1.18824	0.827959	0.0	3.25101	10.1458	0.0471171	0.029943	0.0	0.0	0.0	0.069826	0.0	0.0	0.0	0.0	0.0587502	0.036405	0.0	3.89335	0.667133	0.160934	2.27618	0.0	0.0141039	0.247519	0.0398819	0.0	4.23888	0.0	0.0	1.85289	0.0	1.40835	0.0	0.0	0.0	0.0	0.00919954	0.0	0.916952	0.501605	3.16971	0.0	0.0	0.0319454	0.225364	0.526257	0.0	0.126472	0.126472	0.270327	0.104105	0.2202	0.0	3.80764	5.7835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.393174	0.105988	26.0111	20.6941	25.1507	18.5461	19.8255	0.180631	0.358937	0.226162	0.0	0.0	0.0	3.41418	6.82719	1.1485	0.0199037	0.0	0.0168023	1.9462	6.44807	1.04476	0.0	0.0	0.0246921	0.676949	0.0560446	0.540095	0.198624	0.199659	0.163823	0.109215	0.0150775	0.102003	2.62201	8.94431	2.09077	2.55075	0.3028	0.402121	0.0	0.970942	1.95167	3.55666	1.57226	7.0781
