Variable,Coefficient,Std_Error,T_stat,P-value,Significant,CI_Lower,CI_Upper,PC
Intercept,-14.490426853015997,9.555360074256251,-1.5164710424733912,0.12940028713413107,False,-33.218588457870226,4.237734751838232,PC3
C(SampleType)[T.Groin],0.09991235168710433,2.1593289300751084,0.04627009359043277,0.9630949756273013,False,-4.1322945820355175,4.332119285409726,PC3
C(SampleType)[T.Stool],11.97880999595432,2.011864610913765,5.9540835556094835,2.6153316910554554e-09,True,8.035627816792651,15.921992175115989,PC3
C(Location)[T.ZCH],-14.00701963965442,3.303835329093916,-4.239624026145357,2.2389446418576515e-05,True,-20.482417895529533,-7.531621383779307,PC3
C(GestationCohort)[T.28-32 Weeks],3.4878423099407723,4.236772154209949,0.8232310313111861,0.4103766254555695,False,-4.816078523012909,11.791763142894453,PC3
C(GestationCohort)[T.33-36 Weeks],1.3637492041498809,5.419229972677602,0.25164999659094783,0.8013116102025677,False,-9.2577463662382,11.985244774537962,PC3
C(SampleCollectionWeek)[T.Week.3],-4.476430179968537,1.7331258970758487,-2.5828649768151433,0.009798366208361477,True,-7.873294518910873,-1.0795658410262003,PC3
C(MaternalAntibiotics)[T.None.Mat.Abx],4.568934374962646,2.791121406748946,1.636952933654172,0.10164030430523621,False,-0.9015630587440588,10.039431808669352,PC3
C(PostNatalAbxCohort)[T.Low.Infant.Abx],3.8861487497152245,3.445324526416558,1.1279485342871787,0.25934165495848593,False,-2.8665632371137475,10.638860736544196,PC3
C(PostNatalAbxCohort)[T.No.Infant.Abx],10.024963167388204,3.2563660491022226,3.0785737893785248,0.0020799401338891157,True,3.642602990668859,16.40732334410755,PC3
C(BSI_30D)[T.BSI ],-2.3382261534236535,12.678933768457904,-0.18441820078282845,0.8536853925323762,False,-27.18847970196985,22.51202739512254,PC3
C(BSI_30D)[T.BSI and No.BSI],16.6655694905077,11.711685471658727,1.422986429309167,0.1547400892867515,False,-6.288912232204403,39.6200512132198,PC3
C(BSI_30D)[T.No.BSI],6.044743791509285,3.9304763886843874,1.5379163220295002,0.12406907590795821,False,-1.658848372397169,13.74833595541574,PC3
C(BSI_30D)[T.No.BSI ],0.5705275483453237,14.03858509589577,0.04063996082569029,0.9675829263255515,False,-26.944593633511168,28.085648730201818,PC3
C(BSI_30D)[T.No.BSI  ],-2.8507721832656197,15.990234070960273,-0.17828207958774553,0.8585014517733458,False,-34.19105506671305,28.489510700181807,PC3
C(BSI_30D)[T.PICC],24.32083782970631,9.348783011373762,2.601497735065355,0.00928176780183556,True,5.997559828133827,42.644115831278796,PC3
C(NEC_30D)[T.No.NEC],4.545282169373953,6.265170731922969,0.725484166969999,0.46815505469207386,False,-7.734226822189516,16.824791160937423,PC3
C(AnyMilk)[T.Mother],-3.5925708037393003,3.9136032184748095,-0.9179701168427032,0.35863451092230747,False,-11.263092161729968,4.077950554251367,PC3
C(AnyMilk)[T.No.Milk],2.3242210396551566,5.3399365396707354,0.435252558225808,0.6633791166467836,False,-8.141862257828926,12.79030433713924,PC3
C(PICC)[T.PICC_LE],-1.8639628227543272,3.594253013867234,-0.5185953285878441,0.6040429673567407,False,-8.90856928125865,5.180643635749995,PC3
C(PICC)[T.PICC_Neck],5.3064732138535895,8.595078900064342,0.6173850496955724,0.5369807807129443,False,-11.539571874552664,22.152518302259843,PC3
C(PICC)[T.PICC_UE],-1.5295500113895544,3.0711361352449162,-0.4980404462818045,0.6184555345684859,False,-7.548866228089123,4.489766205310014,PC3
C(PICC)[T.axillary],1.2714252875027299,7.401093807456971,0.1717888356207167,0.863603542924781,False,-13.234452021315354,15.777302596320814,PC3
C(PICC)[T.peripheral_UE],1.971070745070016,6.533756639950594,0.3016749557242341,0.762899861748567,False,-10.834856952982586,14.776998443122617,PC3
C(UVC)[T.UVC],6.685715430154867,3.508286985057928,1.905692281911331,0.05669014124666229,False,-0.19040070798928266,13.561831568299016,PC3
C(Delivery)[T.Vaginal],-0.5733175635490786,3.2690578211552714,-0.1753770030737696,0.860783409421183,False,-6.980553156392392,5.833918029294234,PC3
Group Var,0.0762794558323014,0.03654800262900353,2.087103270912212,0.036878800467308584,True,0.004646686972579264,0.14791222469202353,PC3
