Feature,Feature_Original,SHAP Importance,PC
33-36 Weeks Gestation,GestationCohort_33-36 Weeks,3.1650441430445073,PC5
PICC Upper Extremity,PICC_PICC_UE,2.638426317371333,PC5
Stool Sample,SampleType_Stool,2.234574262007521,PC5
Groin Sample,SampleType_Groin,1.7644740327927864,PC5
Week 3 Sample,SampleCollectionWeek_Week.3,1.458071527462498,PC5
PICC Lower Extremity,PICC_PICC_LE,1.114140021043639,PC5
Mother's Milk,AnyMilk_Mother,0.904044156259782,PC5
ZCH Location,Location_ZCH,0.8262217042950071,PC5
No Maternal Antibiotics,MaternalAntibiotics_None.Mat.Abx,0.8017901484115906,PC5
No Infant Antibiotics,PostNatalAbxCohort_No.Infant.Abx,0.754466914855255,PC5
28-32 Weeks Gestation,GestationCohort_28-32 Weeks,0.6980431201733217,PC5
Low Infant Antibiotics,PostNatalAbxCohort_Low.Infant.Abx,0.6907083202012152,PC5
Vaginal Delivery,Delivery_Vaginal,0.5710812637847521,PC5
UVC Present,UVC_UVC,0.4468045254477144,PC5
BSI_30D: No.BSI,BSI_30D_No.BSI,0.27621366976767237,PC5
NEC_30D: No.NEC,NEC_30D_No.NEC,0.2363665725964875,PC5
No Milk,AnyMilk_No.Milk,0.19633447414750377,PC5
PICC Peripheral UE,PICC_peripheral_UE,0.06451299331671893,PC5
PICC Axillary,PICC_axillary,0.0492463692570103,PC5
PICC Neck,PICC_PICC_Neck,0.032934976659474376,PC5
BSI_30D: PICC,BSI_30D_PICC,0.025462335256575267,PC5
BSI_30D: No.BSI ,BSI_30D_No.BSI ,0.018035638035428687,PC5
BSI_30D: BSI ,BSI_30D_BSI ,0.014655431094583225,PC5
BSI_30D: BSI and No.BSI,BSI_30D_BSI and No.BSI,0.00959917173797523,PC5
BSI_30D: No.BSI  ,BSI_30D_No.BSI  ,0.006715917546112139,PC5
